CODIGO_BIP,RATE,FECHA_DETECCION
40005794,RS,2026-09-16
40005794,RS,2026-09-16
40056664,RS,2026-09-16
30005793,FI,2026-09-16
40070128,AD,2026-09-16
40027537,RS,2026-09-16
30363426,FI,2026-09-16
40046091,RS,2026-09-16
40035979,RS,2026-09-16
40035979,RS,2026-09-16
30484568,FI,2026-09-16
40005723,RS,2026-09-16
40058042,FI,2026-09-16
30084551,RS,2026-09-16
40024541,RS,2026-09-16
40075905,RS,2026-09-16
40039741,RS,2026-09-16
40039423,RS,2026-09-16
40055058,RS,2026-09-16
40055058,RS,2026-09-16
40072395,RS,2026-09-16
40071603,RS,2026-09-16
30458978,RS,2026-09-16
40062950,FI,2026-09-16
20059863,RE,2026-09-16
40047310,RS,2026-09-16
40005104,RS,2026-09-16
40005104,RS,2026-09-16
40031085,FI,2026-09-16
40063246,AD,2026-09-16
40059335,AD,2026-09-16
40061782,RS,2026-09-16
40012238,RS,2026-09-16
40034871,RS,2026-09-16
40034862,OT,2026-09-16
40053451,RS,2026-09-16
30078294,RS,2026-09-16
30107162,RS,2026-09-16
40016268,RS,2026-09-16
40016268,RS,2026-09-16
40059781,RS,2026-09-16
40077364,OT,2026-09-16
40071722,FI,2026-09-16
30486596,RS,2026-09-16
40075235,AD,2026-09-16
40026995,RS,2026-09-16
40030470,FI,2026-09-16
40028891,RS,2026-09-16
40069144,RS,2026-09-16
40031574,RS,2026-09-16
40019008,RS,2026-09-16
30483134,RS,2026-09-16
40031493,RS,2026-09-16
40050736,RS,2026-09-16
40033681,FI,2026-09-16
30094632,RE,2026-09-16
40065095,OT,2026-09-16
40067724,RS,2026-09-16
40067724,RS,2026-09-16
30460322,RS,2026-09-16
30460322,RS,2026-09-16
30483037,RS,2026-09-16
40019598,RS,2026-09-16
30121509,RS,2026-09-16
30121509,RS,2026-09-16
30104076,FI,2026-09-16
30129336,RS,2026-09-16
30080581,RS,2026-09-16
40009317,FI,2026-09-16
40050305,AD,2026-09-16
30485336,RS,2026-09-16
30485336,RS,2026-09-16
30480161,RS,2026-09-16
30396675,FI,2026-09-16
30393933,RS,2026-09-16
40056895,AD,2026-09-16
40070855,RS,2026-09-16
40039870,FI,2026-09-16
40047587,AD,2026-09-16
40025844,RS,2026-09-16
40065075,AD,2026-09-16
40009708,RS,2026-09-16
40038513,AD,2026-09-16
40032128,RS,2026-09-16
30064908,FI,2026-09-16
40027860,AD,2026-09-16
40063331,AD,2026-09-16
30130132,RS,2026-09-16
40052136,OT,2026-09-16
30435474,RS,2026-09-16
30435474,RS,2026-09-16
30486631,RS,2026-09-16
40068636,AD,2026-09-16
40065453,OT,2026-09-16
40065453,OT,2026-09-16
30484569,RS,2026-09-16
30096109,RS,2026-09-16
30482371,RS,2026-09-16
30109997,RS,2026-09-16
30181672,RS,2026-09-16
30136611,RS,2026-09-16
30317475,OT,2026-09-16
40024685,RS,2026-09-16
40030398,RS,2026-09-16
30389722,RS,2026-09-16
30391825,RS,2026-09-16
40066830,OT,2026-09-16
40068656,RS,2026-09-16
40026294,RS,2026-09-16
40047314,RS,2026-09-16
30441475,RS,2026-09-16
30441475,RS,2026-09-16
40038954,RS,2026-09-16
30483464,FI,2026-09-16
40026906,RS,2026-09-16
40069586,RS,2026-09-16
40005682,RS,2026-09-16
40072785,RS,2026-09-16
40047517,AD,2026-09-16
30043928,FI,2026-09-16
30096602,OT,2026-09-16
30122283,RS,2026-09-16
30487011,RS,2026-09-16
40079637,RS,2026-09-16
40070049,AD,2026-09-16
30105632,RS,2026-09-16
40015138,RS,2026-09-16
40049397,RS,2026-09-16
40075829,RS,2026-09-16
40024413,FI,2026-09-16
30484768,RS,2026-09-16
40036593,FI,2026-09-16
30463626,RS,2026-09-16
40018637,RS,2026-09-16
40032738,RS,2026-09-16
40045987,FI,2026-09-16
40031194,FI,2026-09-16
30485668,RS,2026-09-16
40038559,RS,2026-09-16
30130586,RS,2026-09-16
30036236,RS,2026-09-16
40076264,RS,2026-09-16
40063248,RS,2026-09-16
30470444,RS,2026-09-16
40016546,RS,2026-09-16
40056898,AD,2026-09-16
20160278,OT,2026-09-16
40076989,FI,2026-09-16
40076989,FI,2026-09-16
30486627,RS,2026-09-16
40030703,FI,2026-09-16
40070590,AD,2026-09-16
20054441,OT,2026-09-16
20054441,FI,2026-09-16
20054441,CF,2026-09-16
20054441,IN,2026-09-16
20059863,FI,2026-09-16
20059863,RS,2026-09-16
20088311,OT,2026-09-16
20088311,*,2026-09-16
20153304,RS,2026-09-16
20153304,FA,2026-09-16
20153304,*,2026-09-16
20153304,IN,2026-09-16
20155699,RS,2026-09-16
20156148,OT,2026-09-16
20156148,RS,2026-09-16
20160278,FI,2026-09-16
20160278,RS,2026-09-16
20177920,OT,2026-09-16
20177920,FI,2026-09-16
20178141,FI,2026-09-16
20178141,RS,2026-09-16
20178168,OT,2026-09-16
20178168,FI,2026-09-16
20178214,OT,2026-09-16
20178214,FI,2026-09-16
20178214,IN,2026-09-16
20187802,OT,2026-09-16
20187802,RS,2026-09-16
20188580,OT,2026-09-16
20188580,RS,2026-09-16
20189205,RS,2026-09-16
20189211,FI,2026-09-16
30002745,OT,2026-09-16
30005793,RS,2026-09-16
30036236,RE,2026-09-16
30036236,OT,2026-09-16
30036236,FI,2026-09-16
30038126,OT,2026-09-16
30043928,RS,2026-09-16
30044383,OT,2026-09-16
30044383,FI,2026-09-16
30057859,RE,2026-09-16
30057859,FI,2026-09-16
30057859,RS,2026-09-16
30061964,OT,2026-09-16
30061964,FI,2026-09-16
30064290,OT,2026-09-16
30064649,OT,2026-09-16
30064649,RS,2026-09-16
30064908,RS,2026-09-16
30069841,OT,2026-09-16
30069841,FI,2026-09-16
30070555,OT,2026-09-16
30070727,OT,2026-09-16
30072803,OT,2026-09-16
30072803,FI,2026-09-16
30072828,FI,2026-09-16
30073030,FI,2026-09-16
30073603,RE,2026-09-16
30073603,RS,2026-09-16
30078294,FI,2026-09-16
30080556,RS,2026-09-16
30080581,RE,2026-09-16
30080581,FI,2026-09-16
30080831,FI,2026-09-16
30081138,FI,2026-09-16
30082374,FI,2026-09-16
30084551,OT,2026-09-16
30084551,FI,2026-09-16
30085715,OT,2026-09-16
30092858,RS,2026-09-16
30094632,FI,2026-09-16
30094632,RS,2026-09-16
30096102,RE,2026-09-16
30096102,FI,2026-09-16
30096110,OT,2026-09-16
30096110,FI,2026-09-16
30096349,RS,2026-09-16
30096407,FI,2026-09-16
30096602,FI,2026-09-16
30096778,RE,2026-09-16
30096778,OT,2026-09-16
30096778,RS,2026-09-16
30097841,FI,2026-09-16
30099413,RS,2026-09-16
30100107,FI,2026-09-16
30100226,FI,2026-09-16
30100340,FI,2026-09-16
30103935,FI,2026-09-16
30104076,OT,2026-09-16
30104076,RS,2026-09-16
30104304,OT,2026-09-16
30104345,OT,2026-09-16
30104345,FI,2026-09-16
30105632,RE,2026-09-16
30105632,OT,2026-09-16
30105632,FI,2026-09-16
30107157,FI,2026-09-16
30109997,FI,2026-09-16
30112007,RS,2026-09-16
30113065,FI,2026-09-16
30119003,FI,2026-09-16
30119015,OT,2026-09-16
30119015,FI,2026-09-16
30120056,RS,2026-09-16
30120122,FI,2026-09-16
30121509,FI,2026-09-16
30124912,RS,2026-09-16
30125055,FI,2026-09-16
30126632,OT,2026-09-16
30126701,FI,2026-09-16
30129336,FI,2026-09-16
30130132,FI,2026-09-16
30131841,FI,2026-09-16
30135321,OT,2026-09-16
30135321,FI,2026-09-16
30135685,FI,2026-09-16
30136315,OT,2026-09-16
30136315,FI,2026-09-16
30136983,FI,2026-09-16
30137226,OT,2026-09-16
30137226,RS,2026-09-16
30137818,FI,2026-09-16
30155224,FI,2026-09-16
30156972,OT,2026-09-16
30156972,RS,2026-09-16
30187622,FI,2026-09-16
30201772,FI,2026-09-16
30249672,RS,2026-09-16
30256122,RS,2026-09-16
30267380,FI,2026-09-16
30285772,FI,2026-09-16
30292973,FI,2026-09-16
30292973,RS,2026-09-16
30317475,FI,2026-09-16
30327173,FI,2026-09-16
30328827,OT,2026-09-16
30341126,OT,2026-09-16
30341126,FI,2026-09-16
30343539,FI,2026-09-16
30345076,FI,2026-09-16
30349028,FI,2026-09-16
30363439,RS,2026-09-16
30363445,RS,2026-09-16
30369628,RS,2026-09-16
30376489,FI,2026-09-16
30377222,FI,2026-09-16
30379323,OT,2026-09-16
30379323,FI,2026-09-16
30384722,FI,2026-09-16
30391825,FI,2026-09-16
30393933,FI,2026-09-16
30394039,OT,2026-09-16
30396675,OT,2026-09-16
30396675,RS,2026-09-16
30407223,FI,2026-09-16
30407522,OT,2026-09-16
30407522,RS,2026-09-16
30410576,FI,2026-09-16
30435474,FI,2026-09-16
30441475,FI,2026-09-16
30446872,FI,2026-09-16
30458837,RS,2026-09-16
30459418,RS,2026-09-16
30460322,FI,2026-09-16
30461075,FI,2026-09-16
30463592,FI,2026-09-16
30463626,FI,2026-09-16
30463675,RS,2026-09-16
30464197,FI,2026-09-16
30466033,FI,2026-09-16
30467604,RS,2026-09-16
30467692,CF,2026-09-16
30468944,CF,2026-09-16
30468944,IN,2026-09-16
30470444,RE,2026-09-16
30470444,OT,2026-09-16
30470444,FI,2026-09-16
30475049,OT,2026-09-16
30475049,FI,2026-09-16
30478136,OT,2026-09-16
30478136,RS,2026-09-16
30480901,FI,2026-09-16
30482371,FI,2026-09-16
30484343,OT,2026-09-16
30484502,FI,2026-09-16
30484568,RS,2026-09-16
30484768,OT,2026-09-16
30484768,FI,2026-09-16
30484920,FI,2026-09-16
30485336,FI,2026-09-16
30485932,CF,2026-09-16
30486031,FI,2026-09-16
30486050,FI,2026-09-16
40000086,FI,2026-09-16
40000938,OT,2026-09-16
40000938,FI,2026-09-16
40002036,FI,2026-09-16
40002869,FI,2026-09-16
40003212,FI,2026-09-16
40003665,OT,2026-09-16
40003665,FI,2026-09-16
40004714,FI,2026-09-16
40005104,FI,2026-09-16
40005336,FI,2026-09-16
40005682,FI,2026-09-16
40005756,RS,2026-09-16
